"Provincia","Número de llamadas pertinentes"
"Almería","13826.0"
"Cádiz","25258.0"
"Córdoba","14540.0"
"Granada","22270.0"
"Huelva","10669.0"
"Jaén","11334.0"
"Málaga","42720.0"
"Sevilla","53157.0"
"Huesca","2997.0"
"Teruel","1565.0"
"Zaragoza","18913.0"
"Asturias","23705.0"
"Illes Balears","24110.0"
"Las Palmas","38117.0"
"Santa Cruz de Tenerife","34175.0"
"Cantabria","13016.0"
"Ávila","4131.0"
"Burgos","7007.0"
"León","9576.0"
"Palencia","3052.0"
"Salamanca","7042.0"
"Segovia","2968.0"
"Soria","1296.0"
"Valladolid","14117.0"
"Zamora","3324.0"
"Albacete","6010.0"
"Ciudad Real","8265.0"
"Cuenca","2972.0"
"Guadalajara","5875.0"
"Toledo","17239.0"
"Barcelona","112203.0"
"Girona","9514.0"
"Lleida","4765.0"
"Tarragona","14794.0"
"Alicante/Alacant","47518.0"
"Castellón/Castelló","12613.0"
"Valencia/València","68945.0"
"Badajoz","13860.0"
"Cáceres","8208.0"
"A Coruña","22103.0"
"Lugo","5299.0"
"Ourense","4777.0"
"Pontevedra","18339.0"
"Madrid","259234.0"
"Murcia","32208.0"
"Navarra","12448.0"
"Araba/Álava","4722.0"
"Bizkaia","17484.0"
"Gipuzkoa","7588.0"
"La Rioja","6026.0"
"Ceuta","1641.0"
"Melilla","1876.0"
"No consta","24560.0"
