"Comunidad autónoma","Número de denuncias por violencia de género"
"Andalucía","412028.0"
"Aragón","46915.0"
"Principado de Asturias","35852.0"
"Illes Balears","71715.0"
"Canarias","116419.0"
"Cantabria","20995.0"
"Castilla y León","67076.0"
"Castilla-La Mancha","71998.0"
"Cataluña","273413.0"
"Comunitat Valenciana","279861.0"
"Extremadura","31412.0"
"Galicia","79777.0"
"Comunidad de Madrid","311859.0"
"Región de Murcia","84438.0"
"Comunidad Foral de Navarra","21446.0"
"País Vasco","64654.0"
"La Rioja","9966.0"
"Ceuta","3826.0"
"Melilla","4864.0"
